,dataset,algorithm,tta-operation,corruption,accuracy,error,severity level,number of weight
0,speech-commands,RestNet26_base,N/A,N/A,96.34235552304315,3.657644476956847,0.0,740481
1,speech-commands,RestNet26_base,N/A,doing_the_dishes,82.17995610826627,17.820043891733732,3.0,740481
2,speech-commands,RestNet26_base,"TTT, ts, bn, online",doing_the_dishes,80.07315288953913,19.92684711046087,3.0,740481
3,speech-commands,RestNet26_base,N/A,exercise_bike,84.3306510607169,15.669348939283097,3.0,740481
4,speech-commands,RestNet26_base,"TTT, ts, bn, online",exercise_bike,78.36137527432334,21.638624725676664,3.0,740481
5,speech-commands,RestNet26_base,N/A,running_tap,86.13021214337965,13.869787856620349,3.0,740481
6,speech-commands,RestNet26_base,"TTT, ts, bn, online",running_tap,83.07242136064374,16.927578639356256,3.0,740481
