,dataset,algorithm,tta-operation,corruption,accuracy,error,severity level,number of weight
0,audio-mnist,restnet50,N/A,N/A,95.67,4.329999999999998,0.0,25567042
1,audio-mnist,restnet50,N/A,doing_the_dishes-rand,32.14,67.86,10.0,25567042
2,audio-mnist,restnet50,Tent Adaptation,doing_the_dishes-rand,82.77,17.230000000000004,10.0,25567042
3,audio-mnist,restnet50,Norm Adaptation,doing_the_dishes-rand,80.66,19.340000000000003,10.0,25567042
4,audio-mnist,restnet50,N/A,exercise_bike-rand,30.599999999999998,69.4,10.0,25567042
5,audio-mnist,restnet50,Tent Adaptation,exercise_bike-rand,87.56,12.439999999999998,10.0,25567042
6,audio-mnist,restnet50,Norm Adaptation,exercise_bike-rand,84.37,15.629999999999995,10.0,25567042
7,audio-mnist,restnet50,N/A,running_tap-rand,32.66,67.34,10.0,25567042
8,audio-mnist,restnet50,Tent Adaptation,running_tap-rand,87.49,12.510000000000005,10.0,25567042
9,audio-mnist,restnet50,Norm Adaptation,running_tap-rand,85.41,14.590000000000003,10.0,25567042
