,dataset,algorithm,tta-operation,corruption,accuracy,error,severity level,number of weight
0,audio-mnist,restnet50,N/A,N/A,95.69,4.310000000000002,0.0,25567042
1,audio-mnist,restnet50,N/A,doing_the_dishes-rand,14.499999999999998,85.5,3.0,25567042
2,audio-mnist,restnet50,Tent Adaptation,doing_the_dishes-rand,53.63,46.37,3.0,25567042
3,audio-mnist,restnet50,Norm Adaptation,doing_the_dishes-rand,53.94,46.06,3.0,25567042
4,audio-mnist,restnet50,N/A,exercise_bike-rand,19.36,80.64,3.0,25567042
5,audio-mnist,restnet50,Tent Adaptation,exercise_bike-rand,66.36999999999999,33.63000000000001,3.0,25567042
6,audio-mnist,restnet50,Norm Adaptation,exercise_bike-rand,64.08,35.92,3.0,25567042
7,audio-mnist,restnet50,N/A,running_tap-rand,28.77,71.23,3.0,25567042
8,audio-mnist,restnet50,Tent Adaptation,running_tap-rand,71.17999999999999,28.820000000000007,3.0,25567042
9,audio-mnist,restnet50,Norm Adaptation,running_tap-rand,66.97,33.03,3.0,25567042
