,dataset,algorithm,tta-operation,corruption,accuracy,error,severity level,number of weight
0,audio-mnist,restnet50,N/A,N/A,98.09,1.9099999999999966,0.0,25567042
1,audio-mnist,restnet50,N/A,gaussian_noise,26.790000000000003,73.21,0.005,25567042
2,audio-mnist,restnet50,Tent Adaptation,gaussian_noise,84.15,15.849999999999994,0.005,25567042
3,audio-mnist,restnet50,Norm Adaptation,gaussian_noise,80.58,19.42,0.005,25567042
