,dataset,algorithm,tta-operation,corruption,accuracy,error,severity level,number of weight
0,audio-mnist,cnn,N/A,N/A,96.19,3.8100000000000023,0.0,25404
1,audio-mnist,cnn,N/A,doing_the_dishes-rand,14.56,85.44,1.0,25404
2,audio-mnist,cnn,Tent Adaptation,doing_the_dishes-rand,27.13,72.87,1.0,25404
3,audio-mnist,cnn,Norm Adaptation,doing_the_dishes-rand,27.61,72.39,1.0,25404
4,audio-mnist,cnn,N/A,exercise_bike-rand,18.89,81.11,1.0,25404
5,audio-mnist,cnn,Tent Adaptation,exercise_bike-rand,31.35,68.65,1.0,25404
6,audio-mnist,cnn,Norm Adaptation,exercise_bike-rand,32.019999999999996,67.98,1.0,25404
7,audio-mnist,cnn,N/A,running_tap-rand,19.93,80.07,1.0,25404
8,audio-mnist,cnn,Tent Adaptation,running_tap-rand,37.54,62.46,1.0,25404
9,audio-mnist,cnn,Norm Adaptation,running_tap-rand,38.33,61.67,1.0,25404
