,dataset,algorithm,tta-operation,corruption,accuracy,error,severity level
0,audio-mnist,RestNet,N/A,N/A,96.32,3.680000000000007,0.0
1,audio-mnist,RestNet,N/A,gaussian_noise,37.63,62.37,0.005
2,audio-mnist,RestNet,"TTT, ts, bn, online",gaussian_noise,37.93,62.07,0.005
