,dataset,algorithm,tta-operation,corruption,accuracy,error,severity level
0,audio-mnist,RestNet,N/A,N/A,97.37,2.6299999999999955,0.0
1,audio-mnist,RestNet,N/A,gaussian_noise,12.620000000000001,87.38,0.005
2,audio-mnist,RestNet,"TTT, sl, bn",gaussian_noise,59.85,40.15,0.005
