,dataset,algorithm,tta-operation,corruption,accuracy,error,severity level
0,audio-mnist,RestNet,N/A,N/A,97.42,2.5799999999999983,0.0
1,audio-mnist,RestNet,N/A,gaussian_noise,51.43,48.57,0.0025
2,audio-mnist,RestNet,TTT time-shift,gaussian_noise,68.71000000000001,31.289999999999992,0.0025
