,dataset,algorithm,tta-operation,corruption,accuracy,error,severity level,number of weight
0,audio-mnist,RestNet_base,N/A,N/A,93.78999999999999,6.210000000000008,0.0,737005
1,audio-mnist,RestNet_base,N/A,doing_the_dishes-rand,11.360000000000001,88.64,1.0,737005
2,audio-mnist,RestNet_base,"TTT, ts, bn, online",doing_the_dishes-rand,12.09,87.91,1.0,737005
3,audio-mnist,RestNet_base,N/A,exercise_bike-rand,10.4,89.6,1.0,737005
4,audio-mnist,RestNet_base,"TTT, ts, bn, online",exercise_bike-rand,10.03,89.97,1.0,737005
5,audio-mnist,RestNet_base,N/A,running_tap-rand,11.39,88.61,1.0,737005
6,audio-mnist,RestNet_base,"TTT, ts, bn, online",running_tap-rand,12.790000000000001,87.21,1.0,737005
