,dataset,type,step,accuracy,loss
97,audio-mnist,ssh,48,98.6328125,0.03327120840549469
98,audio-mnist,cls,49,94.53125,0.16484335064888
99,audio-mnist,ssh,49,100.0,0.0026447600685060024
100,audio-mnist,cls,50,96.875,0.3198275864124298
101,audio-mnist,ssh,50,99.8046875,0.008122805505990982
102,audio-mnist,cls,51,96.09375,0.14742089807987213
103,audio-mnist,ssh,51,100.0,0.000622435356490314
104,audio-mnist,cls,52,94.53125,0.1849273294210434
105,audio-mnist,ssh,52,100.0,0.0021646416280418634
106,audio-mnist,cls,53,96.09375,0.1553402692079544
107,audio-mnist,ssh,53,99.8046875,0.008678002282977104
108,audio-mnist,cls,54,95.3125,0.13085173070430756
109,audio-mnist,ssh,54,100.0,0.00021912371448706836
110,audio-mnist,cls,55,97.65625,0.12616018950939178
111,audio-mnist,ssh,55,99.8046875,0.005034841597080231
112,audio-mnist,cls,56,96.09375,0.13235881924629211
113,audio-mnist,ssh,56,100.0,0.0005395981715992093
114,audio-mnist,cls,57,92.96875,0.19763906300067902
115,audio-mnist,ssh,57,100.0,0.002152050146833062
116,audio-mnist,cls,58,97.65625,0.10771241784095764
117,audio-mnist,ssh,58,99.4140625,0.012661491520702839
118,audio-mnist,cls,59,96.875,0.09766790270805359
119,audio-mnist,ssh,59,100.0,0.0007890345877967775
120,audio-mnist,cls,60,99.21875,0.0643908903002739
121,audio-mnist,ssh,60,100.0,0.0010236119851469994
122,audio-mnist,cls,61,95.3125,0.1270381659269333
123,audio-mnist,ssh,61,100.0,0.003289292100816965
124,audio-mnist,cls,62,97.65625,0.0867554172873497
125,audio-mnist,ssh,62,100.0,0.0013075373135507107
126,audio-mnist,cls,63,96.875,0.07819689065217972
127,audio-mnist,ssh,63,100.0,0.0011954957153648138
128,audio-mnist,cls,64,98.4375,0.07824618369340897
129,audio-mnist,ssh,64,100.0,0.0004990307497791946
130,audio-mnist,cls,65,100.0,0.03703906759619713
131,audio-mnist,ssh,65,100.0,0.0013151353923603892
132,audio-mnist,cls,66,97.65625,0.08852995932102203
133,audio-mnist,ssh,66,100.0,0.0004028071416541934
134,audio-mnist,cls,67,100.0,0.05693305283784866
135,audio-mnist,ssh,67,100.0,0.002749452367424965
136,audio-mnist,cls,68,94.53125,0.11328832805156708
137,audio-mnist,ssh,68,100.0,0.000817319203633815
138,audio-mnist,cls,69,97.65625,0.043468177318573
139,audio-mnist,ssh,69,100.0,0.0008062008419074118
140,audio-mnist,cls,70,97.65625,0.07810726761817932
141,audio-mnist,ssh,70,100.0,0.00048116547986865044
142,audio-mnist,cls,71,96.09375,0.07959657162427902
143,audio-mnist,ssh,71,100.0,0.00032548842136748135
144,audio-mnist,cls,72,93.75,0.12846451997756958
145,audio-mnist,ssh,72,100.0,0.0009339721291325986
146,audio-mnist,cls,73,99.21875,0.05198999121785164
147,audio-mnist,ssh,73,100.0,0.0005477445083670318
148,audio-mnist,cls,74,96.09375,0.129530131816864
149,audio-mnist,ssh,74,100.0,0.002571659628301859
150,audio-mnist,cls,75,98.4375,0.0719105526804924
151,audio-mnist,ssh,75,100.0,0.0006669156718999147
152,audio-mnist,cls,76,99.21875,0.04843692481517792
153,audio-mnist,ssh,76,100.0,0.000871466298121959
154,audio-mnist,cls,77,98.4375,0.037045471370220184
155,audio-mnist,ssh,77,100.0,0.001376831321977079
156,audio-mnist,cls,78,98.4375,0.05239240080118179
157,audio-mnist,ssh,78,100.0,0.0003830270725302398
158,audio-mnist,cls,79,97.65625,0.08675912767648697
159,audio-mnist,ssh,79,100.0,0.00106300029437989
160,audio-mnist,cls,80,99.21875,0.047036826610565186
161,audio-mnist,ssh,80,100.0,0.00044508144492283463
162,audio-mnist,cls,81,100.0,0.02961779199540615
163,audio-mnist,ssh,81,100.0,0.000406046980060637
164,audio-mnist,cls,82,97.65625,0.10816879570484161
165,audio-mnist,ssh,82,100.0,0.0036139171570539474
166,audio-mnist,cls,83,99.21875,0.08771254122257233
167,audio-mnist,ssh,83,100.0,0.0004095036711078137
168,audio-mnist,cls,84,99.21875,0.038590207695961
169,audio-mnist,ssh,84,100.0,0.0006724300910718739
170,audio-mnist,cls,85,100.0,0.057693902403116226
171,audio-mnist,ssh,85,100.0,0.0009024539613164961
172,audio-mnist,cls,86,99.21875,0.05511074140667915
173,audio-mnist,ssh,86,100.0,0.0002698540920391679
174,audio-mnist,cls,87,99.21875,0.06451310962438583
175,audio-mnist,ssh,87,100.0,0.0005088817561045289
176,audio-mnist,cls,88,97.65625,0.058253899216651917
177,audio-mnist,ssh,88,99.4140625,0.011616595089435577
178,audio-mnist,cls,89,97.65625,0.05457276850938797
179,audio-mnist,ssh,89,100.0,0.0004928396083414555
180,audio-mnist,cls,90,96.09375,0.10513731837272644
181,audio-mnist,ssh,90,99.8046875,0.007727873045951128
182,audio-mnist,cls,91,96.875,0.07939903438091278
183,audio-mnist,ssh,91,100.0,0.0006992180133238435
184,audio-mnist,cls,92,97.65625,0.09912494570016861
185,audio-mnist,ssh,92,100.0,0.0005647246725857258
186,audio-mnist,cls,93,97.65625,0.07349569350481033
187,audio-mnist,ssh,93,100.0,0.0002418196527287364
188,audio-mnist,cls,94,97.65625,0.046648070216178894
189,audio-mnist,ssh,94,100.0,0.00026534247444942594
190,audio-mnist,cls,95,97.65625,0.08081042021512985
191,audio-mnist,ssh,95,100.0,0.0020608536433428526
192,audio-mnist,cls,96,98.4375,0.07695675641298294
193,audio-mnist,ssh,96,100.0,0.00048617037828080356
194,audio-mnist,cls,97,97.65625,0.06023818254470825
195,audio-mnist,ssh,97,100.0,0.00028312442009337246
196,audio-mnist,cls,98,97.65625,0.07137873768806458
197,audio-mnist,ssh,98,100.0,0.000685304228682071
198,audio-mnist,cls,99,98.4375,0.046261053532361984
199,audio-mnist,ssh,99,100.0,0.0004251153441146016
200,audio-mnist,cls,100,97.65625,0.06424380093812943
201,audio-mnist,ssh,100,100.0,0.002791464328765869
202,audio-mnist,cls,101,96.875,0.09080971777439117
203,audio-mnist,ssh,101,100.0,0.0013377181021496654
204,audio-mnist,cls,102,98.4375,0.059447187930345535
205,audio-mnist,ssh,102,100.0,0.0007601592224091291
206,audio-mnist,cls,103,100.0,0.03201232850551605
