Step,RT-10dB-no_cst,RT-10dB-org,RT-10dB-no_pl,RT-10dB-upd
0,89.83174835405998,89.65618141916606,89.80248719824434,90.31455743
1,91.06071689831748,90.47549378200439,91.06071689831748,91.86539868324799
2,90.85588881,90.25603511338699,91.07534748,91.93855157278713
3,90.56327724945136,90.00731528895392,90.85588881,91.85076810534017
4,91.00219458668617,90.22677395757133,91.19239209948793,91.93855157278713
5,90.82662765179225,90.06583760058521,91.23628383,91.89465983906364
6,90.51938551572786,89.87564008778347,90.89978054133138,91.85076810534017
7,90.62179956108267,90.06583760058521,91.14850036576445,91.88002926115581
8,90.69495245,90.00731528895392,91.32406730065837,91.89465983906364
9,90.41697147037307,89.87564008778347,91.16313094367227,91.79224579370884
10,90.57790782735918,89.91953182150695,91.14850036576445,91.88002926115581
11,90.70958302852962,89.96342355523042,91.35332845647403,91.96781272860278
12,90.40234089246525,89.65618141916606,91.17776152158011,91.85076810534017
13,90.31455743,89.58302852962692,91.16313094367227,91.79224579370884
14,90.32918800292612,89.50987564008778,91.08997805413314,91.79224579370884
15,90.44623262618873,89.43672275054865,91.06071689831748,91.77761521580102
16,90.28529626920263,89.68544257,91.04608632040966,91.71909290416971
17,90.13899049012436,89.34893928310169,90.89978054133138,91.83613752743234
18,90.16825164594002,89.20263350402341,91.00219458668617,91.71909290416971
19,90.06583760058521,88.98317484,91.01682516459401,91.71909290416971
20,89.96342355523042,88.79297732260424,90.91441111923922,91.82150694952452
21,,,,91.68983174835405
22,,,,91.67520117044623
23,,,,91.63130943672274
24,,,,91.76298464
25,,,,91.61667885881492
26,,,,91.66057059
27,,,,91.66057059
28,,,,91.52889539136795
29,,,,91.54352596927579
30,,,,91.57278712509144
31,,,,91.61667885881492
32,,,,91.45574250182882
33,,,,91.52889539136795
34,,,,91.51426481346013
35,,,,91.61667885881492
36,,,,91.52889539136795
37,,,,91.47037307973665
38,,,,91.58741770299926
39,,,,91.57278712509144
40,,,,91.55815654718361
41,,,,91.51426481346013
42,,,,91.54352596927579
43,,,,91.52889539136795
44,,,,91.49963424
45,,,,91.49963424
46,,,,91.51426481346013
47,,,,91.64594001463058
48,,,,91.61667885881492
49,,,,91.54352596927579
