Step,DD-10dB-no_nm,DD-10dB-no_cst,DD-10dB-no_pl,DD-10dB-org,EB-10dB-no_nm,EB-10dB-no_cst,EB-10dB-no_pl,EB-10dB-org,RT-10dB-no_nm,RT-10dB-no_cst,RT-10dB-org,RT-10dB-no_pl,RT-10dB-upd,EB-10dB-upd,DD-10dB-upd
,,,,,,,,,,,,,91.61667885881492,91.39722019019752,91.28017557
,,,,,,,,,,,,,91.45574250182882,91.42648134601316,91.29480614484272
,,,,,,,,,,,,,91.52889539136795,91.44111192,91.25091441111924
,,,,,,,,,,,,,91.51426481346013,91.42648134601316,91.26554498902706
,,,,,,,,,,,,,91.61667885881492,91.36795903438187,91.17776152158011
,,,,,,,,,,,,,91.52889539136795,91.29480614484272,91.19239209948793
,,,,,,,,,,,,,91.47037307973665,91.33869788,91.11923920994879
,,,,,,,,,,,,,91.58741770299926,91.28017557,91.11923920994879
,,,,,,,,,,,,,91.57278712509144,91.33869788,91.04608632040966
,,,,,,,,,,,,,91.55815654718361,91.38258961228969,91.16313094367227
,,,,,,,,,,,,,91.51426481346013,91.35332845647403,91.19239209948793
,,,,,,,,,,,,,91.54352596927579,91.36795903438187,91.10460863204096
,,,,,,,,,,,,,91.52889539136795,91.41185076810534,91.16313094367227
,,,,,,,,,,,,,91.49963424,91.35332845647403,91.19239209948793
,,,,,,,,,,,,,91.49963424,91.41185076810534,91.17776152158011
,,,,,,,,,,,,,91.51426481346013,91.32406730065837,91.19239209948793
,,,,,,,,,,,,,91.64594001463058,91.39722019019752,91.16313094367227
,,,,,,,,,,,,,91.61667885881492,91.38258961228969,91.11923920994879
,,,,,,,,,,,,,91.54352596927579,91.32406730065837,91.08997805413314
