Step,DD-3dB-no_cst,DD-3dB-org,RT-3dB-upd,EB-3dB-upd,DD-3dB-upd,RT-3dB-no_nm,RT-3dB-no_cst,RT-3dB-no_pl,RT-3dB-org,EB-3dB-no_nm,EB-3dB-no_cst,EB-3dB-no_pl,EB-3dB-org,DD-3dB-no_pl,DD-3dB-no_nm
0,79.00512070226775,78.53694220921726,85.0329188,82.28237015362106,79.85369422092172,80.21945867,84.30138990490124,84.06730065837601,83.76005852231162,76.83979517190929,81.91660570592538,81.87271397220191,81.50694952450623,78.96122896854426,74.44038039502561
1,83.18946598390636,82.17995610826627,87.09583028529627,84.62326261887344,83.45281638624725,31.192392099487932,87.15435259692758,86.71543525969275,86.05705925384054,30.75347476225311,84.63789319678128,84.53547915142649,84.09656181419166,83.27724945135333,39.72201901975128
2,83.86247256766643,82.63350402340892,87.68105340160936,85.07681053401609,83.81858083394295,5.135332845647403,87.21287490855889,86.93489392831016,85.67666422823702,9.027066569129481,84.97439649,84.69641550841258,83.71616678858815,83.84784198975859,15.56693489392831
3,84.14045354791514,83.32114118507681,87.54937820043892,85.28163862472567,84.27212874908558,3.847841989758596,86.92026335040234,87.13972201901974,85.58888076079005,4.418434528163862,85.14996342355523,85.04754937820044,83.95025604,84.27212874908558,6.817849305047549
4,84.40380395025603,83.02852962692026,87.59326993,85.45720555961961,84.63789319678128,3.847841989758596,87.40307242136063,87.43233357717631,85.91075347476226,3.9502560351133873,85.17922457937088,85.19385516,83.9063643,84.52084857351866,4.447695683979517
5,84.49158742,83.24798829553768,87.57863935625457,85.53035844915874,85.09144111192391,3.906364301389905,87.38844184345281,87.75420629114849,86.05705925384054,3.862472567666423,85.58888076079005,85.42794440380395,84.11119239209948,84.82809070958302,3.994147768836869
6,84.60863204096562,83.13094367227507,87.66642282370154,85.58888076079005,84.78419897585955,3.847841989758596,86.42282370153622,87.08119970738845,85.10607168983175,3.862472567666423,85.39868324798829,85.28163862472567,83.62838332114119,84.81346013,3.9209948792977323
7,84.84272128749085,83.42355523,87.66642282370154,85.77907827359181,85.12070226773957,3.8917337234820777,86.93489392831016,87.40307242136063,85.35479151426482,3.862472567666423,85.32553035844916,85.41331382589613,83.96488661302122,84.98902706656914,3.906364301389905
8,84.79882955376738,83.67227505486467,87.66642282370154,85.82297000731529,85.22311631309437,3.8332114118507685,86.92026335040234,87.46159473299195,85.22311631309437,3.8039502560351135,85.48646671543526,85.67666422823702,84.15508412582297,84.93050475493781,3.9648866130212146
9,84.76956839795172,83.49670811997075,87.73957571324067,85.86686174103878,85.19385516,3.8039502560351135,86.67154352596927,87.24213606437455,85.01828822238478,3.774689100219459,85.26700804681785,85.48646671543526,83.93562545720556,85.01828822238478,4.038039502560351
10,84.87198244330652,83.49670811997075,87.65179224579371,85.77907827359181,85.17922457937088,3.862472567666423,86.77395757132406,87.11046086,84.85735186539868,3.7600585223116316,85.53035844915874,85.72055596,84.14045354791514,84.98902706656914,4.081931236283833
11,84.76956839795172,83.45281638624725,87.72494513533285,85.85223116313094,85.19385516,3.8771031455742504,86.71543525969275,87.15435259692758,85.14996342355523,3.774689100219459,85.36942209217264,85.67666422823702,84.08193123628384,85.14996342355523,4.081931236283833
12,84.81346013,83.43818580833943,87.75420629114849,85.77907827359181,85.32553035844916,3.979517190929042,86.64228237015362,87.12509144111192,85.07681053401609,3.774689100219459,85.48646671543526,85.72055596,84.21360643745427,85.25237746891003,4.096561814
13,84.63789319678128,83.56986100950988,87.66642282370154,85.86686174103878,85.13533284564741,4.0087783467446965,86.32040965618143,87.05193855157279,84.50621799561083,3.774689100219459,85.14996342355523,85.35479151426482,83.70153621068033,85.01828822238478,3.994147768836869
14,84.69641550841258,83.59912216532554,87.59326993,85.74981711777615,85.50109729,3.994147768836869,86.53986832479883,87.11046086,84.75493782004389,3.7161667885881497,85.51572787125092,85.67666422823702,83.92099487929772,85.19385516,3.9648866130212146
15,84.65252377,83.59912216532554,87.46159473299195,85.69129480614485,85.35479151426482,4.023408924652524,86.55449890270665,87.18361375274324,84.62326261887344,3.7161667885881497,85.34016094,85.57425018288222,83.64301389904901,85.20848573518653,3.9648866130212146
16,84.69641550841258,83.58449159,87.69568397951718,85.83760058522311,85.44257498171179,4.023408924652524,86.70080468178493,87.18361375274324,85.22311631309437,3.7161667885881497,85.45720555961961,85.60351133869788,83.78931967812728,85.12070226773957,3.8771031455742504
17,84.56474030724213,83.42355523,87.59326993,85.70592538405268,85.45720555961961,4.038039502560351,86.37893196781273,87.09583028529627,84.82809070958302,3.7161667885881497,85.34016094,85.25237746891003,83.65764447695683,85.09144111192391,3.862472567666423
18,84.63789319678128,83.55523043160204,87.56400877834675,85.64740307242135,85.51572787125092,4.155084126,86.11558156547183,87.06656912948063,84.74030724213605,3.7161667885881497,85.54498902706656,85.5596196,83.76005852231162,85.28163862472567,3.672275054864667
19,84.63789319678128,83.42355523,87.62253108997805,85.79370885149964,85.28163862472567,4.169714703730797,85.89612289685442,86.74469641550841,84.38917337,3.701536210680322,85.23774689,85.44257498171179,83.55523043160204,85.13533284564741,3.2479882955376738
20,84.57937088514996,83.56986100950988,87.71031455742502,85.67666422823702,85.39868324798829,4.242867593269934,85.82297000731529,86.96415508412582,84.19897585954645,3.701536210680322,85.31089978054133,85.48646671543526,83.39429407461594,85.22311631309437,2.9407461594732993
21,,,87.71031455742502,85.63277249451353,85.53035844915874,,,,,,,,,,
22,,,87.72494513533285,85.72055596,85.31089978054133,,,,,,,,,,
23,,,87.71031455742502,85.69129480614485,85.36942209217264,,,,,,,,,,
24,,,87.66642282370154,85.63277249451353,85.23774689,,,,,,,,,,
