Step,DD-3dB-no_cst,DD-3dB-org,RT-3dB-upd,EB-3dB-upd,DD-3dB-upd,RT-3dB-no_nm,RT-3dB-no_cst,RT-3dB-no_pl,RT-3dB-org,EB-3dB-no_nm,EB-3dB-no_cst,EB-3dB-no_pl,EB-3dB-org,DD-3dB-no_pl,DD-3dB-no_nm
25,,,87.65179224579371,85.67666422823702,85.47183613752743,,,,,,,,,,
26,,,87.59326993,85.72055596,85.42794440380395,,,,,,,,,,
27,,,87.59326993,85.80833942940747,85.38405267008046,,,,,,,,,,
28,,,87.50548646671544,85.72055596,85.34016094,,,,,,,,,,
29,,,87.56400877834675,85.73518653986832,85.38405267008046,,,,,,,,,,
30,,,87.59326993,85.76444769568397,85.38405267008046,,,,,,,,,,
31,,,87.54937820043892,85.72055596,85.45720555961961,,,,,,,,,,
32,,,87.59326993,85.79370885149964,85.38405267008046,,,,,,,,,,
33,,,87.49085589,85.70592538405268,85.34016094,,,,,,,,,,
34,,,87.49085589,85.70592538405268,85.34016094,,,,,,,,,,
35,,,87.47622531089978,85.82297000731529,85.26700804681785,,,,,,,,,,
36,,,87.50548646671544,85.60351133869788,85.17922457937088,,,,,,,,,,
37,,,87.50548646671544,85.69129480614485,85.28163862472567,,,,,,,,,,
38,,,87.53474762,85.77907827359181,85.32553035844916,,,,,,,,,,
39,,,87.47622531089978,85.83760058522311,85.20848573518653,,,,,,,,,,
40,,,87.49085589,85.70592538405268,85.13533284564741,,,,,,,,,,
41,,,87.50548646671544,85.72055596,85.16459400146306,,,,,,,,,,
42,,,87.60790051207023,85.72055596,85.17922457937088,,,,,,,,,,
43,,,87.62253108997805,85.76444769568397,85.23774689,,,,,,,,,,
44,,,87.65179224579371,85.76444769568397,85.12070226773957,,,,,,,,,,
45,,,87.54937820043892,85.76444769568397,85.16459400146306,,,,,,,,,,
46,,,87.52011704462326,85.76444769568397,85.12070226773957,,,,,,,,,,
47,,,87.59326993,85.77907827359181,85.19385516,,,,,,,,,,
48,,,87.56400877834675,85.82297000731529,85.16459400146306,,,,,,,,,,
49,,,87.44696415508413,85.77907827359181,85.13533284564741,,,,,,,,,,
