Step,RT-10dB-upd,RT-10dB-no_nm,RT-10dB-no_cst,RT-10dB-no_pl,RT-10dB-org,EB-10dB-org,DD-10dB-org,DD-10dB-upd,DD-10dB-no_nm,DD-10dB-no_cst,DD-10dB-no_pl,EB-10dB-upd,EB-10dB-no_nm,EB-10dB-no_cst,EB-10dB-no_pl
1,0.4689489857852459,8.128489971160889,9.965958988666534,0,9.92392432,9.953353564739228,10.082781550884247,0.5415230514109135,8.592610354423522,10.139895963668822,0,0.5957514400780202,8.288729581832886,10.011608891487121,0
2,0.28822484,7.487713396549226,11.884232602119447,0,11.875784842967988,11.982249422073364,12.121231470108032,0.3642681122105569,7.654784035682678,12.197152802944183,0,0.5489612885564565,7.5328190755844116,12.017593505382537,0
3,0.17367249552626163,7.333195850849152,11.400728454589844,0,11.579403293132783,11.740869002342224,12.174593880176545,0.22742784833535554,7.394484119415283,12.280981390476226,0,0.4915285590849817,7.355095198154449,11.696834282875061,0
4,0.10975834439275786,7.2928876256942745,10.860287594795228,0,11.190442953109741,11.424390699863434,12.028227665424348,0.16995468785637058,7.337255363464355,12.097992219924928,0,0.4178073351224884,7.332637851238251,11.252077357769013,0
5,0.10451284237555228,7.271007463932038,10.535171010494231,0,10.959792563915252,11.167302095890046,11.882916667461394,0.14978383142617532,7.306019239,11.929216761589052,0,0.4266084072366357,7.347321403026581,10.920991184711456,0
6,0.099526018,7.258658347129822,10.344421017169953,0,10.828097455501556,11.002442371845246,11.729368305206298,0.15131730668945237,7.2862519669532775,11.756558821201324,0,0.42780127552337943,7.375004789829253,10.624572253227234,0
7,0.08974098,7.2499036026000985,10.278724784851075,0,10.775244498252869,10.870466928482056,11.614238522052766,0.13326361013081622,7.273588104248047,11.641757853031159,0,0.4048773672664538,7.3937643742561345,10.478359978199006,0
8,0.097010212,7.243831255435944,10.23936607837677,0,10.725834634304046,10.80415869474411,11.525161881446838,0.1252193344105035,7.264981327056885,11.524513616561888,0,0.4171836705115856,7.402112786769867,10.395347650051116,0
9,0.098412002,7.2392403960227965,10.206551015377045,0,10.643778953552246,10.69757485628128,11.45248920917511,0.14821728634211467,7.258334052562714,11.371565399169922,0,0.40529488599742763,7.390211420059205,10.287593219280243,0
10,0.10396570575307125,7.236038835048674,10.171260218620299,0,10.593783614635468,10.679891724586486,11.400706071853637,0.13825037661357784,7.253005201816559,11.257336761951446,0,0.39717469166498626,7.373064596652984,10.281122801303862,0
11,0.080656841,7.233815824985504,10.129640617370605,0,10.615552539825439,10.68106636762619,11.325435092449187,0.14735807311168175,7.249276432991028,11.105801100730895,0,0.40690100603736934,7.358276293277741,10.229709537029267,0
12,0.085117411,7.231250491142273,10.126607651710511,0,10.548104319572449,10.627867233753205,11.26066149711609,0.13257599233213113,7.246308267116547,11.038105969429015,0,0.3930560139950831,7.341222832202911,10.19490765094757,0
13,0.078129002,7.229417169094085,10.145352258682252,0,10.58095413684845,10.59619728088379,11.22788105726242,0.14592251558351563,7.2433832645416265,10.926257169246673,0,0.42492332841269675,7.3304753756523136,10.179577326774597,0
14,0.077128515,7.228359463214875,10.10763352394104,0,10.542532997131348,10.627164936065673,11.192542829513549,0.1617286281840643,7.241133022308349,10.814629900455476,0,0.3979816885909531,7.315016973018647,10.183514621257782,0
15,0.075931672,7.227019827365876,10.162785680294038,0,10.526388447284699,10.570604112148285,11.140551252365112,0.12260259529168252,7.239733090400696,10.762067568302154,0,0.41439765596296635,7.300790524482727,10.169342060089111,0
16,0.076148246,7.226297991275787,10.177132325172424,0,10.525787653923034,10.553075296878815,11.10862844467163,0.13130881812801817,7.237657690048217,10.762995216846466,0,0.3935917560744565,7.292040517,10.19139590024948,0
17,0.078046208,7.2251840233802795,10.133288242816924,0,10.551867277622224,10.570404140949249,11.045106182098388,0.10218833467297372,7.236523571014404,10.695681903362274,0,0.41694925802061333,7.285358958244324,10.172673304080963,0
18,0.073749447,7.2242716121673585,10.141083633899688,0,10.501076726913453,10.538832130432128,11.01971129655838,0.11157293820841005,7.234980080127716,10.621980378627777,0,0.3693835421768017,7.276539638,10.193765337467193,0
19,0.074166145,7.223614931106567,10.15137941122055,0,10.504398982524872,10.539782440662385,11.012961280345916,0.11996402054443026,7.233784935474395,10.584849643707276,0,0.39988778173108586,7.270543561,10.141533644199372,0
20,0.088204663,7.223129599094391,10.189079208374023,0,10.519380657672881,10.512593839168549,10.962553200721741,0.12825381471338915,7.233061492443086,10.56845067501068,0,0.3894796874234453,7.264639785289765,10.20094178199768,0
21,,,,,10.509248430728913,10.529553008079528,10.963459277153015,,,,,,,,
22,,,,,10.512733583450318,10.49214233636856,10.923610737323761,,,,,,,,
23,,,,,10.479306440353394,10.514497067928314,10.891925013065338,,,,,,,,
24,,,,,10.491433610916138,10.498433508872985,10.892660915851593,,,,,,,,
25,,,,,10.46888830423355,10.528221461772919,10.872336511611937,,,,,,,,
26,,,,,10.475966928005219,10.515797126293181,10.881241312026978,,,,,,,,
