,dataset,algorithm,tta-operation,corruption,accuracy,error,severity level,number of weight
0,speech-commands,restnet50,N/A,N/A,86.5837600585223,13.416239941477698,0.0,25587062
1,speech-commands,restnet50,N/A,doing_the_dishes,37.615215801024135,62.384784198975865,1.0,25587062
2,speech-commands,restnet50,Tent Adaptation + normalized,doing_the_dishes,24.535479151426483,75.46452084857351,1.0,25587062
3,speech-commands,restnet50,Norm Adaptation + normalized,doing_the_dishes,20.3218727139722,79.6781272860278,1.0,25587062
4,speech-commands,restnet50,N/A,exercise_bike,34.498902706656914,65.5010972933431,1.0,25587062
5,speech-commands,restnet50,Tent Adaptation + normalized,exercise_bike,23.93562545720556,76.06437454279444,1.0,25587062
6,speech-commands,restnet50,Norm Adaptation + normalized,exercise_bike,20.23408924652524,79.76591075347476,1.0,25587062
7,speech-commands,restnet50,N/A,running_tap,47.30065837600585,52.69934162399415,1.0,25587062
8,speech-commands,restnet50,Tent Adaptation + normalized,running_tap,27.68105340160936,72.31894659839064,1.0,25587062
9,speech-commands,restnet50,Norm Adaptation + normalized,running_tap,22.10680321872714,77.89319678127286,1.0,25587062
