,dataset,algorithm,tta-operation,corruption,accuracy,error,severity level,number of weight
0,speech-commands,restnet50,N/A,N/A,87.66642282370154,12.333577176298462,0.0,25587062
1,speech-commands,restnet50,N/A,doing_the_dishes,66.93489392831017,33.065106071689826,10.0,25587062
2,speech-commands,restnet50,Tent Adaptation + normalized,doing_the_dishes,22.677395757132405,77.3226042428676,10.0,25587062
3,speech-commands,restnet50,Norm Adaptation + normalized,doing_the_dishes,17.264081931236284,82.73591806876371,10.0,25587062
4,speech-commands,restnet50,N/A,exercise_bike,62.472567666422826,37.527432333577174,10.0,25587062
5,speech-commands,restnet50,Tent Adaptation + normalized,exercise_bike,20.804681784930505,79.19531821506949,10.0,25587062
6,speech-commands,restnet50,Norm Adaptation + normalized,exercise_bike,16.12289685442575,83.87710314557425,10.0,25587062
7,speech-commands,restnet50,N/A,running_tap,65.51572787125092,34.48427212874908,10.0,25587062
8,speech-commands,restnet50,Tent Adaptation + normalized,running_tap,21.068032187271395,78.9319678127286,10.0,25587062
9,speech-commands,restnet50,Norm Adaptation + normalized,running_tap,16.69348939283102,83.30651060716897,10.0,25587062
