,dataset,algorithm,tta-operation,corruption,accuracy,error,severity level
0,audio-mnist,RestNet,N/A,N/A,89.78,10.219999999999999,0.0
1,audio-mnist,RestNet,N/A,gaussian_noise,36.42,63.58,0.0025
