,dataset,algorithm,tta-operation,corruption,accuracy,error,severity level
0,audio-mnist,RestNet,N/A,N/A,98.47,1.5300000000000011,0.0
1,audio-mnist,RestNet,N/A,gaussian_noise,60.36,39.64,0.0025
2,audio-mnist,RestNet,"TTT, as, bn, online",gaussian_noise,74.9,25.099999999999994,0.0025
