,dataset,algorithm,tta-operation,corruption,accuracy,error,severity level,number of weight
0,audio-mnist,ViT,N/A,N/A,97.41,2.5900000000000034,0.0,103687828
1,audio-mnist,ViT,N/A,running_tap,28.1,71.9,3.0,103687828
2,audio-mnist,ViT,CoNMix,running_tap,87.25,12.75,3.0,103687828
