,dataset,algorithm,tta-operation,corruption,accuracy,error,severity level,number of weight
0,speech-commands-random,restnet50,N/A,N/A,92.09839488450999,7.901605115490014,0.0,25587062
1,speech-commands-random,restnet50,N/A,gaussian_noise,84.16416547044238,15.835834529557616,0.005,25587062
2,speech-commands-random,restnet50,Tent Adaptation + normalized,gaussian_noise,89.13610857366567,10.863891426334334,0.005,25587062
3,speech-commands-random,restnet50,Norm Adaptation + normalized,gaussian_noise,85.79538039932142,14.204619600678583,0.005,25587062
